3.907063231514978918e-02 6.331914131734743822e-01
1.882913813350513887e+00 -2.005063147613567465e-01
2.031861350768985552e+00 7.309463584242366363e-02
1.298067771498293110e+00 1.371481393357983691e+00
3.655024280070599652e+00 1.055857742110055009e+00
1.975786318683784959e+00 5.804911657174212369e-02
-2.766699901860566246e+00 -1.390341702985715022e+00
5.016520388013172571e-01 -8.501999313553740834e-01
-1.294347404546659863e+00 -9.799280083734478453e-01
-1.126279659633353303e+00 -5.251126257862379632e-01
